series_id,industry,metric,year,period,value
JTS000000000000000TSR,Total Nonfarm,hires,2026,M03,3.4
JTS000000000000000TSR,Total Nonfarm,hires,2026,M02,3.2
JTS000000000000000TSR,Total Nonfarm,hires,2026,M01,3.2
JTS000000000000000TSR,Total Nonfarm,hires,2025,M12,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2025,M11,3.2
JTS000000000000000TSR,Total Nonfarm,hires,2025,M10,3.2
JTS000000000000000TSR,Total Nonfarm,hires,2025,M09,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2025,M08,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2025,M07,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2025,M06,3.4
JTS000000000000000TSR,Total Nonfarm,hires,2025,M05,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2025,M04,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2025,M03,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2025,M02,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2025,M01,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2024,M12,3.2
JTS000000000000000TSR,Total Nonfarm,hires,2024,M11,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2024,M10,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2024,M09,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2024,M08,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2024,M07,3.4
JTS000000000000000TSR,Total Nonfarm,hires,2024,M06,3.2
JTS000000000000000TSR,Total Nonfarm,hires,2024,M05,3.4
JTS000000000000000TSR,Total Nonfarm,hires,2024,M04,3.4
JTS000000000000000TSR,Total Nonfarm,hires,2024,M03,3.3
JTS000000000000000TSR,Total Nonfarm,hires,2024,M02,3.5
JTS000000000000000TSR,Total Nonfarm,hires,2024,M01,3.4
JTS000000000000000TSR,Total Nonfarm,hires,2023,M12,3.5
JTS000000000000000TSR,Total Nonfarm,hires,2023,M11,3.5
JTS000000000000000TSR,Total Nonfarm,hires,2023,M10,3.5
JTS000000000000000TSR,Total Nonfarm,hires,2023,M09,3.5
JTS000000000000000TSR,Total Nonfarm,hires,2023,M08,3.6
JTS000000000000000TSR,Total Nonfarm,hires,2023,M07,3.6
JTS000000000000000TSR,Total Nonfarm,hires,2023,M06,3.6
JTS000000000000000TSR,Total Nonfarm,hires,2023,M05,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2023,M04,3.6
JTS000000000000000TSR,Total Nonfarm,hires,2023,M03,3.9
JTS000000000000000TSR,Total Nonfarm,hires,2023,M02,3.7
JTS000000000000000TSR,Total Nonfarm,hires,2023,M01,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2022,M12,3.9
JTS000000000000000TSR,Total Nonfarm,hires,2022,M11,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2022,M10,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2022,M09,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2022,M08,4.1
JTS000000000000000TSR,Total Nonfarm,hires,2022,M07,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2022,M06,4.0
JTS000000000000000TSR,Total Nonfarm,hires,2022,M05,4.0
JTS000000000000000TSR,Total Nonfarm,hires,2022,M04,4.0
JTS000000000000000TSR,Total Nonfarm,hires,2022,M03,4.1
JTS000000000000000TSR,Total Nonfarm,hires,2022,M02,4.0
JTS000000000000000TSR,Total Nonfarm,hires,2022,M01,4.2
JTS000000000000000TSR,Total Nonfarm,hires,2021,M12,4.1
JTS000000000000000TSR,Total Nonfarm,hires,2021,M11,4.1
JTS000000000000000TSR,Total Nonfarm,hires,2021,M10,3.9
JTS000000000000000TSR,Total Nonfarm,hires,2021,M09,4.1
JTS000000000000000TSR,Total Nonfarm,hires,2021,M08,4.0
JTS000000000000000TSR,Total Nonfarm,hires,2021,M07,4.0
JTS000000000000000TSR,Total Nonfarm,hires,2021,M06,3.9
JTS000000000000000TSR,Total Nonfarm,hires,2021,M05,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2021,M04,3.9
JTS000000000000000TSR,Total Nonfarm,hires,2021,M03,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2021,M02,3.7
JTS000000000000000TSR,Total Nonfarm,hires,2021,M01,3.6
JTS000000000000000TSR,Total Nonfarm,hires,2020,M12,3.9
JTS000000000000000TSR,Total Nonfarm,hires,2020,M11,3.9
JTS000000000000000TSR,Total Nonfarm,hires,2020,M10,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2020,M09,3.6
JTS000000000000000TSR,Total Nonfarm,hires,2020,M08,3.4
JTS000000000000000TSR,Total Nonfarm,hires,2020,M07,3.7
JTS000000000000000TSR,Total Nonfarm,hires,2020,M06,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2020,M05,3.5
JTS000000000000000TSR,Total Nonfarm,hires,2020,M04,8.8
JTS000000000000000TSR,Total Nonfarm,hires,2020,M03,10.8
JTS000000000000000TSR,Total Nonfarm,hires,2020,M02,3.8
JTS000000000000000TSR,Total Nonfarm,hires,2020,M01,3.8
JTS000000000000000QUR,Total Nonfarm,quits,2026,M03,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2026,M02,1.9
JTS000000000000000QUR,Total Nonfarm,quits,2026,M01,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2025,M12,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2025,M11,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2025,M10,1.9
JTS000000000000000QUR,Total Nonfarm,quits,2025,M09,1.9
JTS000000000000000QUR,Total Nonfarm,quits,2025,M08,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2025,M07,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2025,M06,2.1
JTS000000000000000QUR,Total Nonfarm,quits,2025,M05,2.1
JTS000000000000000QUR,Total Nonfarm,quits,2025,M04,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2025,M03,2.2
JTS000000000000000QUR,Total Nonfarm,quits,2025,M02,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2025,M01,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2024,M12,1.9
JTS000000000000000QUR,Total Nonfarm,quits,2024,M11,1.9
JTS000000000000000QUR,Total Nonfarm,quits,2024,M10,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2024,M09,2.0
JTS000000000000000QUR,Total Nonfarm,quits,2024,M08,2.1
JTS000000000000000QUR,Total Nonfarm,quits,2024,M07,2.1
JTS000000000000000QUR,Total Nonfarm,quits,2024,M06,2.1
JTS000000000000000QUR,Total Nonfarm,quits,2024,M05,2.1
JTS000000000000000QUR,Total Nonfarm,quits,2024,M04,2.2
JTS000000000000000QUR,Total Nonfarm,quits,2024,M03,2.1
JTS000000000000000QUR,Total Nonfarm,quits,2024,M02,2.2
JTS000000000000000QUR,Total Nonfarm,quits,2024,M01,2.1
JTS000000000000000QUR,Total Nonfarm,quits,2023,M12,2.2
JTS000000000000000QUR,Total Nonfarm,quits,2023,M11,2.3
JTS000000000000000QUR,Total Nonfarm,quits,2023,M10,2.3
JTS000000000000000QUR,Total Nonfarm,quits,2023,M09,2.3
JTS000000000000000QUR,Total Nonfarm,quits,2023,M08,2.3
JTS000000000000000QUR,Total Nonfarm,quits,2023,M07,2.3
JTS000000000000000QUR,Total Nonfarm,quits,2023,M06,2.4
JTS000000000000000QUR,Total Nonfarm,quits,2023,M05,2.6
JTS000000000000000QUR,Total Nonfarm,quits,2023,M04,2.3
JTS000000000000000QUR,Total Nonfarm,quits,2023,M03,2.4
JTS000000000000000QUR,Total Nonfarm,quits,2023,M02,2.5
JTS000000000000000QUR,Total Nonfarm,quits,2023,M01,2.5
JTS000000000000000QUR,Total Nonfarm,quits,2022,M12,2.7
JTS000000000000000QUR,Total Nonfarm,quits,2022,M11,2.6
JTS000000000000000QUR,Total Nonfarm,quits,2022,M10,2.6
JTS000000000000000QUR,Total Nonfarm,quits,2022,M09,2.7
JTS000000000000000QUR,Total Nonfarm,quits,2022,M08,2.8
JTS000000000000000QUR,Total Nonfarm,quits,2022,M07,2.6
JTS000000000000000QUR,Total Nonfarm,quits,2022,M06,2.7
JTS000000000000000QUR,Total Nonfarm,quits,2022,M05,2.8
JTS000000000000000QUR,Total Nonfarm,quits,2022,M04,3.0
JTS000000000000000QUR,Total Nonfarm,quits,2022,M03,2.9
JTS000000000000000QUR,Total Nonfarm,quits,2022,M02,2.8
JTS000000000000000QUR,Total Nonfarm,quits,2022,M01,2.9
JTS000000000000000QUR,Total Nonfarm,quits,2021,M12,2.9
JTS000000000000000QUR,Total Nonfarm,quits,2021,M11,3.0
JTS000000000000000QUR,Total Nonfarm,quits,2021,M10,2.8
JTS000000000000000QUR,Total Nonfarm,quits,2021,M09,2.9
JTS000000000000000QUR,Total Nonfarm,quits,2021,M08,2.8
JTS000000000000000QUR,Total Nonfarm,quits,2021,M07,2.8
JTS000000000000000QUR,Total Nonfarm,quits,2021,M06,2.8
JTS000000000000000QUR,Total Nonfarm,quits,2021,M05,2.6
JTS000000000000000QUR,Total Nonfarm,quits,2021,M04,2.7
JTS000000000000000QUR,Total Nonfarm,quits,2021,M03,2.5
JTS000000000000000QUR,Total Nonfarm,quits,2021,M02,2.4
JTS000000000000000QUR,Total Nonfarm,quits,2021,M01,2.3
JTS000000000000000QUR,Total Nonfarm,quits,2020,M12,2.4
JTS000000000000000QUR,Total Nonfarm,quits,2020,M11,2.2
JTS000000000000000QUR,Total Nonfarm,quits,2020,M10,2.3
JTS000000000000000QUR,Total Nonfarm,quits,2020,M09,2.2
JTS000000000000000QUR,Total Nonfarm,quits,2020,M08,2.1
JTS000000000000000QUR,Total Nonfarm,quits,2020,M07,2.2
JTS000000000000000QUR,Total Nonfarm,quits,2020,M06,1.9
JTS000000000000000QUR,Total Nonfarm,quits,2020,M05,1.7
JTS000000000000000QUR,Total Nonfarm,quits,2020,M04,1.5
JTS000000000000000QUR,Total Nonfarm,quits,2020,M03,1.9
JTS000000000000000QUR,Total Nonfarm,quits,2020,M02,2.3
JTS000000000000000QUR,Total Nonfarm,quits,2020,M01,2.3
JTS000000000000000LDR,Total Nonfarm,layoffs,2026,M03,1.2
JTS000000000000000LDR,Total Nonfarm,layoffs,2026,M02,1.1
JTS000000000000000LDR,Total Nonfarm,layoffs,2026,M01,1.0
JTS000000000000000LDR,Total Nonfarm,layoffs,2025,M12,1.1
JTS000000000000000LDR,Total Nonfarm,layoffs,2025,M11,1.0
