date,ChatGPT,isPartial
2021-12-26,0,False
2022-01-02,0,False
2022-01-09,0,False
2022-01-16,0,False
2022-01-23,0,False
2022-01-30,0,False
2022-02-06,0,False
2022-02-13,0,False
2022-02-20,0,False
2022-02-27,0,False
2022-03-06,0,False
2022-03-13,0,False
2022-03-20,0,False
2022-03-27,0,False
2022-04-03,0,False
2022-04-10,0,False
2022-04-17,0,False
2022-04-24,0,False
2022-05-01,0,False
2022-05-08,0,False
2022-05-15,0,False
2022-05-22,0,False
2022-05-29,0,False
2022-06-05,0,False
2022-06-12,0,False
2022-06-19,0,False
2022-06-26,0,False
2022-07-03,0,False
2022-07-10,0,False
2022-07-17,0,False
2022-07-24,0,False
2022-07-31,0,False
2022-08-07,0,False
2022-08-14,0,False
2022-08-21,0,False
2022-08-28,0,False
2022-09-04,0,False
2022-09-11,0,False
2022-09-18,0,False
2022-09-25,0,False
2022-10-02,0,False
2022-10-09,0,False
2022-10-16,0,False
2022-10-23,0,False
2022-10-30,0,False
2022-11-06,0,False
2022-11-13,0,False
2022-11-20,0,False
2022-11-27,1,False
2022-12-04,12,False
2022-12-11,16,False
2022-12-18,7,False
2022-12-25,6,False
2023-01-01,9,False
2023-01-08,13,False
2023-01-15,14,False
2023-01-22,20,False
2023-01-29,22,False
2023-02-05,26,False
2023-02-12,24,False
2023-02-19,22,False
2023-02-26,22,False
2023-03-05,22,False
2023-03-12,23,False
2023-03-19,27,False
2023-03-26,27,False
2023-04-02,27,False
2023-04-09,27,False
2023-04-16,28,False
2023-04-23,29,False
2023-04-30,27,False
2023-05-07,25,False
2023-05-14,24,False
2023-05-21,22,False
2023-05-28,19,False
2023-06-04,19,False
2023-06-11,17,False
2023-06-18,16,False
2023-06-25,17,False
2023-07-02,15,False
2023-07-09,18,False
2023-07-16,16,False
2023-07-23,14,False
2023-07-30,14,False
2023-08-06,14,False
2023-08-13,14,False
2023-08-20,17,False
2023-08-27,20,False
2023-09-03,18,False
2023-09-10,21,False
2023-09-17,21,False
2023-09-24,23,False
2023-10-01,21,False
2023-10-08,22,False
2023-10-15,24,False
2023-10-22,23,False
2023-10-29,22,False
2023-11-05,24,False
2023-11-12,24,False
2023-11-19,17,False
2023-11-26,25,False
2023-12-03,26,False
2023-12-10,25,False
2023-12-17,17,False
2023-12-24,12,False
2023-12-31,15,False
2024-01-07,19,False
2024-01-14,21,False
2024-01-21,25,False
2024-01-28,26,False
2024-02-04,26,False
2024-02-11,28,False
2024-02-18,27,False
2024-02-25,27,False
2024-03-03,25,False
2024-03-10,25,False
2024-03-17,25,False
2024-03-24,24,False
2024-03-31,25,False
2024-04-07,27,False
2024-04-14,29,False
2024-04-21,32,False
2024-04-28,28,False
2024-05-05,27,False
2024-05-12,29,False
2024-05-19,27,False
2024-05-26,23,False
2024-06-02,25,False
2024-06-09,21,False
2024-06-16,20,False
2024-06-23,20,False
2024-06-30,17,False
2024-07-07,19,False
2024-07-14,19,False
2024-07-21,19,False
2024-07-28,19,False
2024-08-04,21,False
2024-08-11,24,False
2024-08-18,28,False
2024-08-25,28,False
2024-09-01,29,False
2024-09-08,35,False
2024-09-15,36,False
2024-09-22,39,False
2024-09-29,36,False
2024-10-06,36,False
2024-10-13,37,False
2024-10-20,40,False
2024-10-27,42,False
2024-11-03,38,False
2024-11-10,46,False
2024-11-17,46,False
2024-11-24,31,False
2024-12-01,45,False
2024-12-08,56,False
2024-12-15,41,False
2024-12-22,27,False
2024-12-29,26,False
2025-01-05,40,False
2025-01-12,45,False
2025-01-19,47,False
2025-01-26,57,False
2025-02-02,58,False
2025-02-09,57,False
2025-02-16,57,False
2025-02-23,62,False
2025-03-02,61,False
2025-03-09,54,False
2025-03-16,58,False
2025-03-23,62,False
2025-03-30,67,False
2025-04-06,72,False
2025-04-13,72,False
2025-04-20,74,False
2025-04-27,77,False
2025-05-04,77,False
2025-05-11,74,False
2025-05-18,72,False
2025-05-25,69,False
2025-06-01,68,False
2025-06-08,73,False
2025-06-15,68,False
2025-06-22,69,False
2025-06-29,64,False
2025-07-06,72,False
2025-07-13,80,False
2025-07-20,83,False
2025-07-27,88,False
2025-08-03,84,False
2025-08-10,79,False
2025-08-17,86,False
2025-08-24,88,False
2025-08-31,92,False
2025-09-07,94,False
2025-09-14,98,False
2025-09-21,100,False
2025-09-28,89,False
2025-10-05,89,False
2025-10-12,92,False
2025-10-19,98,False
2025-10-26,94,False
2025-11-02,94,False
2025-11-09,91,False
2025-11-16,92,False
2025-11-23,64,False
2025-11-30,82,False
2025-12-07,84,False
2025-12-14,74,False
2025-12-21,56,False
2025-12-28,56,False
2026-01-04,71,False
2026-01-11,79,False
2026-01-18,80,False
2026-01-25,81,False
2026-02-01,86,False
2026-02-08,66,False
2026-02-15,75,False
2026-02-22,77,False
2026-03-01,82,False
2026-03-08,81,False
2026-03-15,70,False
2026-03-22,84,False
2026-03-29,78,False
2026-04-05,75,False
2026-04-12,79,False
2026-04-19,76,False
2026-04-26,80,False
