release_date,date_start,date_end,geo_id,geo_name,geography,level,facet,variable,cluster_name,value
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,collaboration,collaboration_pct,directive,22.563272409918948
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,collaboration,collaboration_pct,feedback loop,12.036303266190515
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,collaboration,collaboration_pct,learning,18.917648061953297
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,collaboration,collaboration_pct,none,2.9013020624347967
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,collaboration,collaboration_pct,task iteration,25.47648663831153
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,collaboration,collaboration_pct,validation,2.314220367546746
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,act as advisers to student organizations.,0.0067751560240257
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,act as an advocate for farmers or farmers' groups.,0.0029967036260113
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,act as an intermediary in negotiations between buyers and sellers over property prices and settlement details and during the closing of sales.,0.012638271814048
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"act as an intermediary in negotiations between buyers and sellers, generally representing one or the other.",0.0114656486560435
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,act as liaisons between clients and medical staff.,0.0019543719300074
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,act as liaisons between on-site managers or tenants and owners.,0.0050813670180193
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"act as liaisons between ships' captains and shore personnel to ensure that schedules and budgets are maintained, and that ships are operated safely and efficiently.",0.0031269950880118
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,adapt instructional content or delivery methods for different levels or types of learners.,0.1339396229365089
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,adapt instructional techniques to the age and skill levels of students.,0.0028664121640108
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,adapt software and accompanying technical documents to another language and culture.,0.0039087438600148
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,adapt teaching methods and instructional materials to meet students' varying needs and interests.,0.0962853904183658
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,adapt text to accommodate musical requirements of composers and singers.,0.0220192570780836
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,adapt the quantity of ingredients to match the amount of items to be baked.,0.0201951766100767
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"adapt translations to students' cognitive and grade levels, collaborating with educational team members as necessary.",0.0269703326341024
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.",0.0026058292400099
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"address legal issues, such as child abuse and discipline, assisting with hearings and providing testimony to inform custody arrangements.",0.0036481609360138
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,address public audiences to explain program objectives and to elicit support.,0.0042996182460163
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols.",0.1963492332347461
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"adjust controls of equipment to control particle beam movement, pulse rates, energy or intensity, or radiation, according to specifications.",0.0040390353220153
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"adjust controls to regulate temperature, pressure, feed, or flow of liquids or gases and times of prescribed reactions, according to knowledge of equipment and processes.",0.0057328243280217
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"adjust functional parts of devices or control instruments, using hand tools, levels, plumb bobs, or straightedges.",0.0045602011700173
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,adjust sales scripts to better target the needs and interests of specific individuals.,0.0071660304100272
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"adjust, maintain, or repair laboratory equipment such as microscopes.",0.0023452463160089
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"adjust, repair, or replace malfunctioning components or assemblies, using hand tools or soldering irons.",0.0020846633920079
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,administer document and system access rights and revision control to ensure security of system and integrity of master documents.,0.0304882021081158
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"administer highway planning, construction, or maintenance.",0.0045602011700173
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,administer online purchasing systems.,0.012898854738049
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,administer standardized ability and achievement tests and interpret results to determine students' strengths and areas of need.,0.0071660304100272
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"administer systems and programs to reduce loss, maintain inventory control, or increase safety.",0.0026058292400099
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"administer treatments or therapies, such as homeopathy, hydrotherapy, oriental or ayurvedic medicine, electrotherapy and diathermy, using physical agents including air, heat, cold, water, sound, or ultraviolet light to catalyze the body to heal itself.",0.0083386535680316
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"administer, dispense, or prescribe natural medicines such as food or botanical extracts, herbs, dietary supplements, vitamins, nutraceuticals, and amino acids.",0.0100324425740381
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"administer, proctor, or score academic or diagnostic assessments.",0.01315943766205
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise animal owners regarding sanitary measures, feeding, general care, medical conditions, or treatment options.",0.0168075985980638
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise attorneys, juries, litigants, and court personnel regarding conduct, issues, and proceedings.",0.0035178694740133
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",0.0151138095920574
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise client on interior design factors such as space planning, layout and use of furnishings or equipment, and color coordination.",0.012638271814048
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise clients concerning business transactions, claim liability, advisability of prosecuting or defending lawsuits, or legal rights and obligations.",0.0143320608200544
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise clients on financial and legal matters such as investments and taxes.,0.0284035387161079
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise clients on how they could be helped by counseling.,0.0216283826920821
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise clients on market conditions, prices, mortgages, legal requirements and related matters.",0.0571979518182173
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise clients on transportation and payment methods.,0.0024755377780094
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise clients or community groups on issues related to improving general health, such as diet or exercise.",0.0023452463160089
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise clients or respond to inquiries about financial matters in person or via phone, email, web site, or internet chat.",0.0024755377780094
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise construction firms or government agencies on dam or road construction, foundation design, land use, or resource management.",0.0066448645620252
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise corporations on issues involving corporate image projects or problems.,0.0142017693580539
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise customer about or perform maintenance of software system.,0.0076871962580292
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise customers concerning equipment operation, maintenance, or programming.",0.0019543719300074
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise customers of necessary actions and strategies for debt repayment.,0.0096415681880366
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise customers on import and export restrictions, tariff systems, insurance requirements, quotas, or other customs-related matters.",0.0033875780120128
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise customers on product usage to improve production.,0.0019543719300074
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise customers on use and care of merchandise.,0.0033875780120128
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,0.0027361207020103
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,0.0036481609360138
2025-02-10,2025-02-10,2025-02-10,GLOBAL,Global,global,0,onet_task,onet_task_pct,"advise farmers and demonstrate techniques in areas such as feeding and health maintenance of livestock, growing and harvesting practices, and financial planning.",0.0105536084220401
